temakode;objekttype;geometri
4607;Fareområdegrense;LTEMA
4607;Fareområde;PTEMA
4608;HefteUrenBunn;FTEMA
4608;HefteUrenBunnGrense;LTEMA
4608;HefteUrenBunn;PTEMA
4609;RegulertFiskeområdegrense;LTEMA
4610;Fiskevernsone;FTEMA
4610;Fiskevernsonegrense;LTEMA
4610;Fiskevernsone;PTEMA
4611;Fiskefeltgrense;LTEMA
4612;GrenseSjø;LTEMA
4613;Fiskeressursområde;FTEMA
4613;Fiskeressursområde;PTEMA
4614;Fiskeribruksområde;FTEMA
4614;Fiskeribruksområde;PTEMA
4615;Fiskegrunn;FTEMA
4615;Fiskegrunn;PTEMA
4616;Dumpefelt;FTEMA
4616;Dumpefeltgrense;LTEMA
4616;Dumpefelt;PTEMA
4617;Lakseplass;LTEMA
4617;Lakseplass;PTEMA
4618;Sjøflyhavn;FTEMA
4618;Sjøflyhavngrense;LTEMA
4618;Sjøflyhavn;PTEMA
4619;Ankringsområde;FTEMA
4619;Ankringsområdegrense;LTEMA
4619;Ankringsområde;PTEMA
4620;MudretOmråde;FTEMA
4620;MudretOmrådegrense;LTEMA
4620;MudretOmråde;PTEMA
4621;Havbeite;FTEMA
4621;Havbeite;PTEMA
4622;Havbeitegrense;LTEMA
4623;Aktsomhetsområdegrense;LTEMA
4624;FlytendeMerke;PTEMA
4625;Fiskeressursområdegrense;LTEMA
4626;Fiskeribruksområdegrense;LTEMA
4627;Fiskegrunngrense;LTEMA
4628;Aktsomhetsområde;FTEMA
4628;Aktsomhetsområde;PTEMA
4629;Navigasjonsinstallasjon;PTEMA
4635;Rørledningsområde;FTEMA
4635;Rørledningsområde;PTEMA
4636;Rørledningsområdegrense;LTEMA
4639;Havnedistrikt;FTEMA
4639;Havnedistriktgrense;LTEMA
4639;Havnedistrikt;PTEMA
4641;Trafikkseparasjonslinje;LTEMA
4642;AnbefaltTrafikkretning;PTEMA
4645;TrafikkseparasjonFilDel;FTEMA
4645;TrafikkseparasjonFilDel;PTEMA
4648;TrafikkseparasjonFilDelGrense;LTEMA
4649;Havneavsnitt;FTEMA
4649;Havneavsnittgrense;LTEMA
4649;Havneavsnitt;PTEMA
4650;Kurslinje;LTEMA
4651;Prøvetak;PTEMA
4652;Målestasjon;PTEMA
4654;Småbåthavn;FTEMA
4654;Småbåthavngrense;LTEMA
4654;Småbåthavn;PTEMA
4655;Fortøyningsbøye;PTEMA
4656;Havneterminal;FTEMA
4656;Havneterminalgrense;LTEMA
4656;Havneterminal;PTEMA
4701;SkredFaresone;FTEMA
4702;SkredObsForhistorisk;FTEMA
4703;SkredObsHistorisk;FTEMA
4703;SkredObsHistorisk;PTEMA
4704;SkredObsPkt;PTEMA
4705;SkredSkadested;PTEMA
4706;UtlosningOmr;FTEMA
4707;UtlopOmr;FTEMA
4708;FlodbolgeOmr;FTEMA
4709;Grunnboring;PTEMA
4711;SkredFaregrense;LTEMA
48;RuteGenerell;LTEMA
49;Vegpunkt;PTEMA
50;Vegnode;PTEMA
5000;Bygg;FTEMA
5000;Bygg;PTEMA
5001;AnnenBygning;FTEMA
5001;AnnenBygning;PTEMA
5002;Fasadeliv;LTEMA
5003;Bygningsdelelinje;LTEMA
5004;Bygningsavgrensning;LTEMA
5005;Grunnmurriss;LTEMA
5006;Grunnmur;LTEMA
5007;Fasaderiss;LTEMA
5008;Takriss;LTEMA
5009;TaksprangBunn;LTEMA
5010;Bygning;FTEMA
5010;Bygning;PTEMA
5011;Bygningsendring;FTEMA
5011;Bygningsendring;PTEMA
5012;KulturminneBygning;FTEMA
5012;KulturminneBygning;PTEMA
5013;Arkade;LTEMA
5014;Takkant;LTEMA
5021;BymessigBebyggelse;FTEMA
5021;BymessigBebyggelse;PTEMA
5022;TettBebyggelse;FTEMA
5022;TettBebyggelse;PTEMA
5041;Takoverbygg;FTEMA
5041;TakoverbyggKant;LTEMA
5041;Takoverbygg;PTEMA
5050;Bygningsvedheng;LTEMA
5051;TrappBygg;LTEMA
5052;Trappetrinn;LTEMA
5061;Veranda;LTEMA
5080;Bygningslinje;LTEMA
5081;Taksprang;LTEMA
5082;Mønelinje;LTEMA
5083;Hjelpepunkt3D;PTEMA
5084;BeskrivendeBygningsdetalj;LTEMA
5084;BeskrivendeBygningsdetalj;PTEMA
5085;Hjelpelinje3D;LTEMA
5086;Takplatå;LTEMA
5090;Industriområde;FTEMA
5090;Industriområde;PTEMA
5099;FiktivBygningsavgrensning;LTEMA
51;Veglenke;PTEMA
5101;Låvebru;LTEMA
5102;BygningBru;LTEMA
5132;Portrom;LTEMA
5200;Bebygd;FTEMA
5200;Bebygd;PTEMA
5205;Tun;FTEMA
5205;Tun;PTEMA
60;Jernbanelenke;LTEMA
6001;SkråForstøtningsmur;FTEMA
6001;SkråForstøtningsmur;LTEMA
6001;SkråForstøtningsmur;PTEMA
6002;MurLoddrett;LTEMA
6003;MurFrittstående;LTEMA
6004;Skjæring;FTEMA
6004;SkjæringKant;LTEMA
6004;Skjæring;PTEMA
6005;Fylling;FTEMA
6005;FyllingKant;LTEMA
6005;Fylling;PTEMA
6006;Fyllplass;FTEMA
6006;Fyllplass;PTEMA
6007;SkråForstøtningsmurAvgrensning;LTEMA
6008;ForurensetGrunn;FTEMA
6008;ForurensetGrunn;PTEMA
6009;ForurensetGrunnGrense;LTEMA
6011;Steingjerde;LTEMA
6012;AnnetGjerde;LTEMA
6013;VeggFrittstående;LTEMA
6015;Reingjerde;LTEMA
6016;Voll;LTEMA
6017;Skjerm;LTEMA
6051;Avløpsanlegg;PTEMA
6052;Industrianlegg;PTEMA
6054;Utslippspunkt;PTEMA
6055;KostholdsrådOmråde;FTEMA
6055;KostholdsrådOmråde;PTEMA
6056;KostholdsrådOmrådegrense;LTEMA
6057;Støy;FTEMA
6057;Støy;LTEMA
6057;Støy;PTEMA
6058;Støygrense;LTEMA
6099;FiktivAvgrensningForAnlegg;LTEMA
61;Jernbanenode;PTEMA
6105;Hekk;LTEMA
6106;Allé;LTEMA
6113;InnmåltTre;PTEMA
62;Banenode;PTEMA
6200;Severdighet;LTEMA
6200;Severdighet;PTEMA
6201;Kulturminne;FTEMA
6201;Kulturminne;LTEMA
6201;Kulturminne;PTEMA
6202;KulturminneGrense;LTEMA
6203;Kulturmiljø;FTEMA
6203;KulturmiljøGrense;LTEMA
6203;Kulturmiljø;PTEMA
6204;KulturminneSikringssone;FTEMA
6204;KulturminneSikringssoneGr;LTEMA
6204;KulturminneSikringssone;PTEMA
6232;Beitelag;PTEMA
6292;BautaStatue;FTEMA
6292;BautaStatueGrense;LTEMA
6292;BautaStatue;PTEMA
6293;Gravstøtte;FTEMA
6293;GravstøtteGrense;LTEMA
6293;Gravstøtte;PTEMA
63;Banelenke;LTEMA
6302;Fundament;FTEMA
6302;FundamentKant;LTEMA
6302;Fundament;PTEMA
6304;FrittståendeTrapp;FTEMA
6304;FrittståendeTrapp;LTEMA
6304;FrittståendeTrapp;PTEMA
6305;FrittståendeTrappKant;LTEMA
6306;Byggegrop;FTEMA
6306;Byggegrop;PTEMA
6307;ByggegropGrense;LTEMA
6309;VindmølleAvgrensning;LTEMA
6310;Fontene;FTEMA
6310;FonteneGr;LTEMA
6310;Fontene;PTEMA
6311;Flaggstang;PTEMA
6312;Portstolpe;PTEMA
6313;Tank;FTEMA
6313;Tankkant;LTEMA
6313;Tank;PTEMA
6314;Silo;FTEMA
6314;Silokant;LTEMA
6314;Silo;PTEMA
6315;Brønn;FTEMA
6315;BrønnGrense;LTEMA
6315;Brønn;PTEMA
6316;Pipe;FTEMA
6316;Pipekant;LTEMA
6316;Pipe;PTEMA
6317;Bensinpumpe;PTEMA
6318;Smørebukk;LTEMA
6319;Alpinbakke;FTEMA
6319;Alpinbakke;PTEMA
6320;Idrettsanlegg;LTEMA
6321;Hoppbakke;LTEMA
6321;Hoppbakke;PTEMA
6322;Tribune;FTEMA
6322;Tribunekant;LTEMA
6322;Tribune;PTEMA
6323;Kloakkrenseanlegg;FTEMA
6323;Kloakkrenseanlegg;PTEMA
6324;KloakkrenseanleggGrense;LTEMA
6325;Vindmølle;FTEMA
6325;Vindmølle;PTEMA
6326;Vannkraftverk;PTEMA
6327;Vannbehandlingsanlegg;FTEMA
6327;Vannbehandlingsanlegg;PTEMA
6328;VannbehandlingsanleggKant;LTEMA
6329;Hoppbakkeinnretning;LTEMA
6330;Energibrønn;PTEMA
6331;Svømmebasseng;FTEMA
6331;SvømmebassengKant;LTEMA
6331;Svømmebasseng;PTEMA
6332;Skytebaneinnretning;LTEMA
6341;Sandkasse;LTEMA
6342;Lekestativ;LTEMA
6344;Postkassestativ;FTEMA
6344;PostkassestativGrense;LTEMA
6344;Postkassestativ;PTEMA
6350;BeskrivendeHjelpelinjeAnlegg;LTEMA
64;Sporlenke;LTEMA
6405;Radiomeldepunkt;PTEMA
65;Spornode;PTEMA
6500;BygningsmessigAnleggVann;LTEMA
6501;Dam;FTEMA
6501;Dam;LTEMA
6501;Dam;PTEMA
6502;Damkant;LTEMA
6506;Elveforbygning;FTEMA
6506;Elveforbygningskant;LTEMA
6506;Elveforbygning;PTEMA
6507;Dike;FTEMA
6507;Dikekant;LTEMA
6507;Dike;PTEMA
6508;Bølgebryter;LTEMA
6521;Rørgate;LTEMA
6531;Fløtningsrenne;LTEMA
6532;Akvadukt;LTEMA
6540;Fiskehjell;FTEMA
6540;FiskehjellGrense;LTEMA
6540;Fiskehjell;PTEMA
6541;Fisketrapp;LTEMA
6542;FiskehjellMøne;LTEMA
6601;KaiBrygge;FTEMA
6601;KaiBrygge;LTEMA
6601;KaiBrygge;PTEMA
6602;Flytebrygge;FTEMA
6602;Flytebryggekant;LTEMA
6602;Flytebrygge;PTEMA
6603;Ferjekai;PTEMA
6604;Molo;FTEMA
6604;Molo;LTEMA
6604;Molo;PTEMA
6605;Pir;FTEMA
6605;Pir;LTEMA
6605;Pir;PTEMA
6606;UtstikkerKant;LTEMA
6609;Strømbryter;LTEMA
6610;Spuntvegger;LTEMA
6611;MoloKant;LTEMA
6612;PirKant;LTEMA
6613;KaiBryggeKant;LTEMA
6614;Utstikker;FTEMA
6614;Utstikker;LTEMA
6614;Utstikker;PTEMA
6621;Sluse;LTEMA
6621;Sluse;PTEMA
6622;Slipp;LTEMA
6623;Fortøyningskar;PTEMA
6624;Tørrdokk;FTEMA
6624;Tørrdokk;LTEMA
6624;Tørrdokk;PTEMA
6625;Flytedokk;FTEMA
6625;Flytedokk;LTEMA
6625;Flytedokk;PTEMA
6626;Rampe;LTEMA
6627;FlytedokkKant;LTEMA
6628;TørrdokkKant;LTEMA
6631;Pælebunt;PTEMA
6641;OppdrettsmerderKant;LTEMA
6642;Akvakultur;FTEMA
6642;Akvakultur;PTEMA 
6643;Oppdrettskar;LTEMA
6643;Oppdrettskar;PTEMA
6644;Fiskebedrift;PTEMA
6645;Oppdrettsmerder;FTEMA
6645;Akvakulturgrense;LTEMA
6645;Oppdrettsmerder;PTEMA
6650;Petroleumsbrønn;PTEMA
6651;Petroleumsinnretning;LTEMA
6651;Petroleumsinnretning;PTEMA
6652;Petroleumsledning;LTEMA
6653;Petroleumsforekomst;FTEMA
6653;Petroleumsforekomst;PTEMA
6654;Utvinningstillatelse;FTEMA
6654;Utvinningstillatelse;PTEMA
6655;Sokkelinndeling;FTEMA
6655;Sokkelinndelinggrense;LTEMA
6655;Sokkelinndeling;PTEMA
6656;Leteområde;FTEMA
6656;Leteområde;PTEMA
6657;Leteområdegrense;LTEMA
6658;Petroleumskvadrant;FTEMA
6658;Petroleumskvadrant;PTEMA
6659;Petroleumskvadrantgrense;LTEMA
6660;Petroleumsblokk;FTEMA
6660;Petroleumsblokk;PTEMA
6661;Petroleumsblokkgrense;LTEMA
6662;Utvinningstillatelsesgrense;LTEMA
6663;PetroleumsforekomstGrense;LTEMA
70;Forurensningskilde;TEMA
7001;VegSenterlinje;LTEMA
7002;Veg;FTEMA
7002;Veg;LTEMA
7002;Veg;PTEMA
7004;Svingekonnekteringslenke;LTEMA
7005;FortauskantYtre;LTEMA
7006;Vegskulderkant;LTEMA
7007;AnnetVegarealAvgrensning;LTEMA
7008;Kjørebanekant;LTEMA
7009;TerrenglinjeVeg;LTEMA
7010;Kjørefelt;LTEMA
7011;Kjørebane;LTEMA
7012;Vegtrase;LTEMA
7013;Trafikkøykant;LTEMA
7014;Trafikkøy;FTEMA
7014;Trafikkøy;PTEMA
7016;Samferdselsknutepunkt;PTEMA
7017;VeggrøftÅpen;LTEMA
7018;Vegdekkekant;LTEMA
7021;VegkantAvkjørsel;LTEMA
7022;VegkantAnnetVegareal;LTEMA
7026;Kommunedele;PTEMA
7027;Gangveg;FTEMA
7027;Gangveg;LTEMA
7027;Gangveg;PTEMA
7028;Gangvegkant;LTEMA
7030;Fortauskant;LTEMA
7031;Sykkelfelt;LTEMA
7041;GangSykkelveg;FTEMA
7041;GangSykkelveg;LTEMA
7041;GangSykkelveg;PTEMA
7042;GangSykkelVegSenterlinje;LTEMA
7043;GangSykkelvegkant;LTEMA
7046;Fortau;FTEMA
7046;Fortau;LTEMA
7046;Fortau;PTEMA
7099;VegkantFiktiv;LTEMA
7101;Spormidt;LTEMA
7104;Sporende;PTEMA
7105;Sporavgrening;PTEMA
7107;Kjedebrudd;PTEMA
7108;Stasjonsende;PTEMA
7111;Bane;LTEMA
7114;Baneende;PTEMA
7115;Baneavgrening;PTEMA
7126;Jernbaneplattformkant;LTEMA
7128;Sporavgreningspunkt;PTEMA
7135;Stasjon;PTEMA
7136;Kilometerskilt;PTEMA
7137;Sporpunkt;PTEMA
7200;SamferdselOmråde;FTEMA
7200;SamferdselOmråde;LTEMA
7200;SamferdselOmråde;PTEMA
7201;Bilferjestrekning;LTEMA
7202;SamferdselOmrådegrense;LTEMA
7203;AnnenBåtrute;LTEMA
7204;Passasjerferjestrekning;LTEMA
7211;Helikoptertrasé;LTEMA
7212;Flyrute;LTEMA
7301;Taubane;LTEMA
7311;Stolheis;LTEMA
7312;Skitrekk;LTEMA
7313;Gondolbane;LTEMA
7402;Traktorveg;FTEMA
7402;Traktorveg;LTEMA
7402;Traktorveg;PTEMA
7403;Traktorvegkant;LTEMA
7414;Sti;LTEMA
7421;Vinterveg;LTEMA
7422;Skiløype;LTEMA
7423;Lysløype;LTEMA
7424;Snøscooterløype;LTEMA
7425;Barmarksløype;LTEMA
7426;Fotrute;LTEMA
7427;Sykkelrute;LTEMA
7428;AnnenRute;LTEMA
7430;Parkeringsområde;FTEMA
7430;ParkeringsområdeAvgrensning;LTEMA
7430;Parkeringsområde;PTEMA
7450;Adresse;PTEMA
7451;Matrikkeladresse;PTEMA
7452;Gateadresse;PTEMA
7521;Vegrekkverk;LTEMA
7523;Referansestolpe;PTEMA
7524;Referansepunkt;PTEMA
7531;Bru;FTEMA
7531;Bru;LTEMA
7531;Bru;PTEMA
7532;Tunnelportal;LTEMA
7533;Bruavgrensning;LTEMA
7534;Gangfelt;FTEMA
7534;Gangfelt;LTEMA
7534;Gangfelt;PTEMA
7535;Fartsdemper;FTEMA
7535;FartsdemperAvgrensning;LTEMA
7535;Fartsdemper;PTEMA
7536;GangfeltAvgrensning;LTEMA
7537;Brudetalj;LTEMA
7537;Brudetalj;PTEMA
7541;Stikkrenne;LTEMA
7552;Ferist;FTEMA
7552;Ferist;PTEMA
7553;FeristAvgrensning;LTEMA
7555;Kulvert;LTEMA
7601;Skiltpunkt;PTEMA
7603;Trafikksignalpunkt;PTEMA
7605;Skiltportal;LTEMA
7605;Skiltportal;PTEMA
7607;VegoppmerkingLangsgående;LTEMA
7609;Vegsperring;LTEMA
7609;Vegsperring;PTEMA
7812;Planovergang;PTEMA
7832;VegUnderBane;PTEMA
7900;Lufthavn;FTEMA
7900;Lufthavn;PTEMA
7901;Lufthavngrense;LTEMA
7909;FiktivAvgrensningslinjeLufthavn;LTEMA
7910;Rullebanegrense;LTEMA
7911;OperativArealavgrensning;LTEMA
7912;OperativAreal;FTEMA
7912;OperativAreal;PTEMA
7913;RullebaneDistanse;LTEMA
7914;Rullebane;FTEMA
7914;Rullebane;LTEMA
7914;Rullebane;PTEMA
7915;Rullebanemerking;LTEMA
7916;Lufthavndistanse;LTEMA
7931;Taksebanegrense;LTEMA
7932;Taksebane;FTEMA
7932;Taksebane;PTEMA
7935;TaksebaneMerking;LTEMA
7942;Plattformgrense;LTEMA
7943;Plattform;FTEMA
7943;Plattform;PTEMA
7944;Plattformmerking;LTEMA
7945;LufthavnBrøytearealgrense;LTEMA
7946;LufthavnBrøyteareal;FTEMA
7946;LufthavnBrøyteareal;LTEMA
7946;LufthavnBrøyteareal;PTEMA
7947;Lufthavnbrøytedeponi;FTEMA
7947;Lufthavnbrøytedeponi;PTEMA
7948;LufthavnBrøytelinje;LTEMA
7949;LufthavnBrøytesymbol;FTEMA
7949;LufthavnBrøytesymbol;PTEMA
7950;Lufthavnlys;FTEMA
7950;Lufthavnlys;PTEMA
7951;Lufthavnlysgrense;LTEMA
7955;Lufthavnskilt;LTEMA
7955;Lufthavnskilt;PTEMA
7960;Lufthavnforsvarsdetalj;FTEMA
7960;Lufthavnforsvarsdetalj;PTEMA
7961;Lufthavnforsvarsdetaljgrense;LTEMA
7965;Lufthavnberedskapsgrense;LTEMA
7966;Lufthavnberedskap;FTEMA
7966;Lufthavnberedskap;PTEMA
7967;Lufthavnfastmerke;PTEMA
7968;LufthavnHinderflateGrense;LTEMA
7969;LufthavnHinderflate;FTEMA
7969;LufthavnHinderflate;PTEMA
7970;LufthavnInstrumentGrense;LTEMA
7971;LufthavnInstrument;FTEMA
7971;LufthavnInstrument;PTEMA
7980;AnnenLufthavnGrense;LTEMA
7981;AnnenLufthavninformasjon;FTEMA
7981;AnnenLufthavninformasjon;PTEMA
7982;HinderflatePenetreringsflate;FTEMA
7982;HinderflatePenetreringsflate;PTEMA
7983;HinderflatePenetreringsgrense;LTEMA
7989;Bæreevne;FTEMA
7989;Bæreevne;PTEMA
7990;Bæreevnegrense;LTEMA
7995;LufthavnAreal;FTEMA
7995;LufthavnAreal;LTEMA
7995;LufthavnAreal;PTEMA
7996;LufthavnArealgrense;LTEMA
8000;LednTraseseksjon;LTEMA
8000;LednTrasenode;PTEMA
8001;JordkabelLSP;LTEMA
8002;JordkabelLH;LTEMA
8003;JordkabelHSP;LTEMA
8004;Trekkrør;LTEMA
8005;Trekkekanal;LTEMA
8006;ILedning;PTEMA
8007;Skjøt;PTEMA
8008;LedningISeksjon;PTEMA
8009;UndervannskGrLE;LTEMA
8010;Undervannskabelområde;FTEMA
8010;Undervannskabelområdegrense;LTEMA
8010;Undervannskabelområde;PTEMA
8011;LuftledningLSP;LTEMA
8012;LuftledningLH;LTEMA
8013;LuftledningHSP;LTEMA
8020;Ledning;LTEMA
8021;Koplingsobjekt;PTEMA
8022;Traséseksjon;LTEMA
8023;Trasénode;PTEMA
8024;Tverrsnitt;OBJEKT
8025;Posisjon;OBJEKT
8030;Kabelkanal;LTEMA
8101;Signalkabeltrase;LTEMA
8159;VindkraftverkGr;LTEMA
8159;Vindkraftverk;PTEMA
8160;KraftstasjonGr;LTEMA
8160;Kraftstasjon;PTEMA
8161;TrafostasjonGr;LTEMA
8161;Trafostasjon;PTEMA
8163;Fordelingsskap;PTEMA
8164;NettstasjonMast;PTEMA
8165;NettstasjonGr;LTEMA
8165;NettstasjonKiosk;PTEMA
8166;NettbryterGen;PTEMA
8167;Skillebryter;PTEMA
8168;Lastskillebryter;PTEMA
8169;Effektbryter;PTEMA
8201;Vannledning;LTEMA
8202;AvløpFelles;LTEMA
8203;Spillvannsledning;LTEMA
8204;Overvannsledning;LTEMA
8205;Drensledning;LTEMA
8210;HjelpelinjeVA;LTEMA
8250;Kum;PTEMA
8252;Basseng;PTEMA
8253;Sluk;PTEMA
8254;Hydrant;PTEMA
8255;Grenpunkt;PTEMA
8256;Gategutt;PTEMA
8257;Hydrofor;PTEMA
8260;Inntak;PTEMA
8261;Kran;PTEMA
8262;Oljeutskiller;PTEMA
8263;Overløp;PTEMA
8264;Pumpestasjon;PTEMA
8267;Reduksjon;PTEMA
8268;Renseanlegg;PTEMA
8270;Sandfangskum;PTEMA
8271;Septiktank;PTEMA
8272;Slamavskiller;PTEMA
8275;Sprinkleranlegg;PTEMA
8276;Påkoplingspunkt;PTEMA
8277;TankVA;PTEMA
8278;TrasépunktLedn;PTEMA
8279;Utslipp;PTEMA
8280;Ventilpunkt;PTEMA
8281;Brannventil;PTEMA
8282;Stengeventil;PTEMA
8283;Reduksjonsventil;PTEMA
8284;Utviser;PTEMA
8285;Lufteventil;PTEMA
8289;VannforsyningAnlegg;FTEMA
8289;VannforsyningAnlegg;PTEMA
8290;VannforsyningAnleggKant;LTEMA
8301;TeleVanligTrase;LTEMA
8302;TeleSignaltrase;LTEMA
8303;TeleFibertrase;LTEMA
8401;Fjernvarmeledning;LTEMA
8402;Fjernkjøleledning;LTEMA
8501;StolpeEnkel;PTEMA
8511;MastVeilys;PTEMA
8512;VeilysIKabel;PTEMA
8601;MastElGr;LTEMA
8601;MastElFagverk;PTEMA
8602;StolpeStor;LTEMA
8602;StolpeStor;PTEMA
8603;Tårn;FTEMA
8603;Tårnkant;LTEMA
8603;Tårn;PTEMA
8604;MastTeleGr;LTEMA
8604;MastTele;PTEMA
8605;Stolpearrangement;PTEMA
8606;Signalmast;PTEMA
8607;Kontaktledningsåk;LTEMA
8607;Kontaktledningsåk;PTEMA
8701;TrepåleMerkeplate;PTEMA
8703;Markør;PTEMA
8704;Sonde;PTEMA
8705;Ujern;PTEMA
8801;Oljeledningstrase;LTEMA
8999;KartplTverrsnitt;LTEMA
9000;Rutenettflate;FTEMA
9000;Rutenett;LTEMA
9012;Sonedele;LTEMA
9100;Kartbladkant;LTEMA
9101;Kartblad;FTEMA
9102;KartbladkantUTM;LTEMA
9111;KantUtsnitt;LTEMA
9112;Utsnitt;FTEMA
9112;Utsnitt;PTEMA
9121;Temakartavgrensning;LTEMA
9130;Dataavgrensning;LTEMA
9131;Diskontinuitet;LTEMA
9199;FiktivDelelinje;LTEMA
9230;Kartbladhjørne;PTEMA
9300;IkkeKartlagtSjømåltGrense;LTEMA
9301;IkkeKartlagtSjømåltOmr;FTEMA
9301;IkkeKartlagtSjømåltOmr;PTEMA
9400;Isolinje;LTEMA
9401;Isogon;LTEMA
9402;Isoterm;LTEMA
9451;Skråfoto;FTEMA
9451;Skråfoto;PTEMA
9452;Skråfotogrense;LTEMA
9460;Ortofotoavgrensning;LTEMA
9461;Bildegrense;LTEMA
9462;Ortofotobilde;FTEMA
9463;Ortofotoprosjekt;FTEMA
9465;Vertikalbildedekning;FTEMA
9466;Vertikalbilde;FTEMA
9466;Vertikalbilde;PTEMA
9467;Satellittbildedekning;FTEMA
9468;Satellittbilde;FTEMA
9599;Fritekstkart;PTEMA
9990;SpesiellDetalj;LTEMA
9990;SpesiellDetalj;PTEMA
;;
;;
3211;Midt elv/bekk;G
3213;Midt Kanal/Grøft;G
4099;Eiend. grense,ukjent;G
6106;Allé, ubesemt type;G
7003;Midt veg;G
7604;Bomveg;G